latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-11.55262,-52.54219,314.83,0.42,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.29,1.43,N
-11.55033,-45.25664,309.81,0.4,0.44,2023-04-30,442,N,VIIRS,n,2.0NRT,290.45,1.99,N
-11.39158,-55.03001,306.01,0.54,0.42,2023-04-30,442,N,VIIRS,n,2.0NRT,290.76,0.99,N
-11.29762,-54.32079,316.67,0.5,0.41,2023-04-30,442,N,VIIRS,n,2.0NRT,291.92,1.82,N
-11.28753,-44.50841,317.1,0.44,0.46,2023-04-30,442,N,VIIRS,n,2.0NRT,287.83,3.08,N
-11.28634,-56.362,310.06,0.44,0.46,2023-04-30,442,N,VIIRS,n,2.0NRT,288.82,2.05,N
-11.28324,-44.50781,304.6,0.44,0.46,2023-04-30,442,N,VIIRS,n,2.0NRT,287.54,1.4,N
-10.64553,-48.37811,310.61,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,291.92,1.05,N
-10.22481,-49.56311,325.05,0.39,0.36,2023-04-30,442,N,VIIRS,n,2.0NRT,287.81,1.12,N
-10.13906,-51.67036,327.23,0.4,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,291.52,3.31,N
-10.03227,-48.44744,322.72,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,291.82,1.8,N
-9.93253,-59.89911,297.25,0.39,0.6,2023-04-30,442,N,VIIRS,n,2.0NRT,272.71,1.38,N
-9.93184,-59.90285,333.85,0.39,0.6,2023-04-30,442,N,VIIRS,n,2.0NRT,273.52,5.87,N
-9.93115,-59.90655,367,0.39,0.6,2023-04-30,442,N,VIIRS,h,2.0NRT,273.98,5.87,N
-9.93047,-59.91021,302.79,0.39,0.6,2023-04-30,442,N,VIIRS,n,2.0NRT,272.88,4.69,N
-9.92633,-59.90177,300.46,0.39,0.6,2023-04-30,442,N,VIIRS,n,2.0NRT,274.95,5.87,N
-9.92564,-59.90548,321.54,0.39,0.6,2023-04-30,442,N,VIIRS,n,2.0NRT,275.99,5.87,N
-9.92496,-59.90918,299.22,0.39,0.6,2023-04-30,442,N,VIIRS,n,2.0NRT,274.64,4.69,N
-9.91877,-59.9118,318.13,0.39,0.6,2023-04-30,442,N,VIIRS,n,2.0NRT,272.05,1.18,N
-9.70336,-44.70065,302.69,0.41,0.45,2023-04-30,442,N,VIIRS,n,2.0NRT,289.97,0.56,N
-9.70282,-44.70444,305.43,0.41,0.45,2023-04-30,442,N,VIIRS,n,2.0NRT,289.97,1.81,N
-9.51444,-47.73539,303.16,0.43,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,290.99,0.83,N
-9.51358,-47.73641,305.23,0.43,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,291.12,1.65,N
-9.51095,-47.73485,307.74,0.43,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,291.54,0.83,N
-9.36874,-47.52747,305.25,0.43,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,290.03,0.64,N
-9.22608,-60.33759,301.51,0.43,0.62,2023-04-30,442,N,VIIRS,n,2.0NRT,286.16,1.27,N
-9.22535,-60.34158,302.74,0.43,0.62,2023-04-30,442,N,VIIRS,n,2.0NRT,286.26,1.63,N
-8.85475,-49.93658,303.92,0.38,0.36,2023-04-30,442,N,VIIRS,n,2.0NRT,287.48,0.81,N
-8.80511,-48.46923,308.95,0.4,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,289.3,0.84,N
-8.80172,-48.46869,308.71,0.4,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,290.09,0.84,N
-8.6863,-49.65207,302.79,0.38,0.36,2023-04-30,442,N,VIIRS,n,2.0NRT,288.47,0.63,N
-8.61228,-46.71012,301.55,0.46,0.39,2023-04-30,442,N,VIIRS,n,2.0NRT,286.25,1.68,N
-21.96902,-48.66291,301.13,0.51,0.41,2023-04-30,444,N,VIIRS,n,2.0NRT,288.59,0.69,N
-20.99611,-51.79211,307.39,0.39,0.36,2023-04-30,444,N,VIIRS,n,2.0NRT,294.42,1.9,N
