datetime;bateria;nivel;dist
2023-10-31 08:46:10;97;1;145
2023-10-31 08:47:10;97;1;145
2023-10-31 08:48:11;97;1;145
2023-10-31 08:49:11;97;1;145
2023-10-31 08:50:12;97;1;145
2023-10-31 08:51:12;97;1;145
2023-10-31 08:52:12;97;2;144
2023-10-31 08:53:13;97;0;146
2023-10-31 08:54:13;97;2;144
2023-10-31 08:55:13;97;1;145
2023-10-31 08:56:09;97;0;146
2023-10-31 08:57:14;97;1;145
2023-10-31 08:58:09;97;1;145
2023-10-31 08:59:15;97;1;145
2023-10-31 09:00:10;97;0;146
2023-10-31 09:01:11;97;1;145
2023-10-31 09:02:11;97;1;145
2023-10-31 09:03:11;97;1;145
2023-10-31 09:04:12;97;1;145
2023-10-31 09:05:12;97;1;145
2023-10-31 09:06:13;97;0;146
2023-10-31 09:07:13;97;0;146
2023-10-31 09:08:13;97;1;145
2023-10-31 09:09:14;97;1;145
2023-10-31 09:10:09;97;1;145
2023-10-31 09:11:14;97;0;146
2023-10-31 09:12:10;97;1;145
2023-10-31 09:13:10;97;0;146
2023-10-31 09:14:10;97;0;146
2023-10-31 09:15:11;97;2;144
2023-10-31 09:16:11;97;2;144
2023-10-31 09:17:12;97;0;146
2023-10-31 09:18:12;97;0;146
2023-10-31 09:19:12;97;1;145
2023-10-31 09:20:13;97;1;145
2023-10-31 09:21:13;97;1;145
2023-10-31 09:22:13;97;1;145
2023-10-31 09:23:14;97;1;145
2023-10-31 09:24:09;97;1;145
2023-10-31 09:25:15;97;1;145
2023-10-31 09:26:10;97;2;144
2023-10-31 09:27:10;97;2;144
2023-10-31 09:28:11;97;0;146
2023-10-31 09:29:11;97;2;144
2023-10-31 09:30:11;97;1;145
2023-10-31 09:31:12;97;0;146
2023-10-31 09:32:12;97;2;144
2023-10-31 09:33:12;97;2;144
2023-10-31 09:34:13;97;2;144
2023-10-31 09:35:13;97;2;144
2023-10-31 09:36:14;97;2;144
2023-10-31 09:37:09;97;2;144
2023-10-31 09:38:14;97;1;145
2023-10-31 09:39:10;97;2;144
2023-10-31 09:40:10;97;1;145
2023-10-31 09:41:10;97;1;145
2023-10-31 09:42:11;97;1;145
2023-10-31 09:43:11;97;1;145
2023-10-31 09:44:11;97;1;145
2023-10-31 09:45:12;97;0;146
2023-10-31 09:46:12;97;0;146
2023-10-31 09:47:13;97;1;145
2023-10-31 09:48:13;97;1;145
2023-10-31 09:49:13;97;2;144
2023-10-31 09:50:14;97;2;144
2023-10-31 09:51:09;97;1;145
2023-10-31 09:52:14;97;1;145
2023-10-31 09:53:10;97;0;146
2023-10-31 09:54:10;97;1;145
2023-10-31 09:55:10;97;2;144
2023-10-31 09:56:11;97;1;145
2023-10-31 09:57:11;97;1;145
2023-10-31 09:58:11;97;1;145
2023-10-31 09:59:12;97;0;146
2023-10-31 10:00:12;97;1;145
2023-10-31 10:01:12;97;0;146
2023-10-31 10:02:13;97;2;144
2023-10-31 10:03:13;97;1;145
2023-10-31 10:04:14;97;2;144
2023-10-31 10:05:09;97;2;144
2023-10-31 10:06:14;97;2;144
2023-10-31 10:07:09;97;1;145
