datetime;voltaje;distancia
2022-12-27 10:16:08;3.96;243.0
2022-12-27 10:17:06;3.96;243.0
2022-12-27 10:18:05;3.96;243.0
2022-12-27 10:19:09;3.96;243.0
2022-12-27 10:20:08;3.96;243.0
2022-12-27 10:21:07;3.96;243.0
2022-12-27 10:22:05;3.96;243.0
2022-12-27 10:23:09;3.96;243.0
2022-12-27 10:24:08;3.96;243.0
2022-12-27 10:25:07;3.96;243.0
2022-12-27 10:26:05;3.96;243.0
2022-12-27 10:27:04;3.96;243.0
2022-12-27 10:28:08;3.96;243.0
2022-12-27 10:29:07;3.96;243.0
2022-12-27 10:30:06;3.96;243.0
2022-12-27 10:31:05;3.96;243.0
2022-12-27 10:32:08;3.96;243.0
2022-12-27 10:33:07;3.96;243.0
2022-12-27 10:34:06;3.96;243.0
2022-12-27 10:35:05;3.96;243.0
2022-12-27 10:36:08;3.96;243.0
2022-12-27 10:37:07;3.96;244.0
2022-12-27 10:38:06;3.96;244.0
2022-12-27 10:39:05;3.96;244.0
2022-12-27 10:40:09;3.96;244.0
2022-12-27 10:41:08;3.96;244.0
2022-12-27 10:42:07;3.96;244.0
2022-12-27 10:43:05;3.96;244.0
2022-12-27 10:44:09;3.96;244.0
2022-12-27 10:45:08;3.96;244.0
2022-12-27 10:46:07;3.96;244.0
2022-12-27 10:47:06;3.96;244.0
2022-12-27 10:48:05;3.96;244.0
2022-12-27 10:49:08;3.96;243.0
2022-12-27 10:50:07;3.96;243.0
2022-12-27 10:51:06;3.96;243.0
2022-12-27 10:52:05;3.96;243.0
2022-12-27 10:53:09;3.96;243.0
2022-12-27 10:54:08;3.96;243.0
2022-12-27 10:55:07;3.96;243.0
2022-12-27 10:56:06;3.96;243.0
2022-12-27 10:57:05;3.96;243.0
2022-12-27 10:58:08;3.96;243.0
2022-12-27 10:59:07;3.96;243.0
2022-12-27 11:00:06;3.96;243.0
2022-12-27 11:01:05;3.96;243.0
2022-12-27 11:02:09;3.96;243.0
2022-12-27 11:03:08;3.96;243.0
2022-12-27 11:04:07;3.96;243.0
2022-12-27 11:05:05;3.96;243.0
2022-12-27 11:06:04;3.96;243.0
2022-12-27 11:07:08;3.96;243.0
2022-12-27 11:08:07;3.96;243.0
2022-12-27 11:09:06;3.96;243.0
2022-12-27 11:10:05;3.96;243.0
2022-12-27 11:11:09;3.96;243.0
2022-12-27 11:12:08;3.96;243.0
2022-12-27 11:13:06;3.96;243.0
2022-12-27 11:14:05;3.96;243.0
2022-12-27 11:15:04;3.96;243.0
2022-12-27 11:16:08;3.96;243.0
2022-12-27 11:17:07;3.96;243.0
2022-12-27 11:18:06;3.96;243.0
2022-12-27 11:19:05;3.96;243.0
2022-12-27 11:20:09;3.96;243.0
2022-12-27 11:21:08;3.96;243.0
2022-12-27 11:22:06;3.96;243.0
2022-12-27 11:23:05;3.96;243.0
2022-12-27 11:24:09;3.96;243.0
2022-12-27 11:25:08;3.96;243.0
2022-12-27 11:26:07;3.96;243.0
2022-12-27 11:27:06;3.96;243.0
2022-12-27 11:28:05;3.96;243.0
2022-12-27 11:29:09;3.96;243.0
2022-12-27 11:30:07;3.96;243.0
2022-12-27 11:31:06;3.96;243.0
2022-12-27 11:32:05;3.96;243.0
2022-12-27 11:33:09;3.96;243.0
2022-12-27 11:34:08;3.96;243.0
2022-12-27 11:35:07;3.96;243.0
2022-12-27 11:36:06;3.96;243.0
2022-12-27 11:37:05;3.96;243.0
2022-12-27 11:38:09;3.96;243.0
2022-12-27 11:39:08;3.96;243.0
2022-12-27 11:40:06;3.97;243.0
2022-12-27 11:41:05;3.96;243.0
2022-12-27 11:42:04;3.96;243.0
2022-12-27 11:43:08;3.96;243.0
2022-12-27 11:44:07;3.96;243.0
